unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
151,5,water,water,20,4,B2913-3xB2311-1,M_M,25-Apr,,,,,,,,,,,,
159,5,water,late drought,44,11,P1423-7xB2315-1,M_M,24-Apr,,,,,,25-Apr,,,,,,
160,4,drought,early drought,42,1,B2324-4xP513-10,M_M,,,28-mar,,9-Apr,,26-Apr,,,,,,
162,5,water,water,21,11,B1207-2xB1127-2,M_M,24-Apr,,,,,,,,,,,,
163,4,drought,early drought,46,1,T2311-6xL1502-12,Y_Y,25-Apr,,28-mar,,8-Apr,,25-Apr,,,,1,,
165,5,water,water,31,5,T2803-3xL2221-11,Y_Y,,,,,,,,,,,,,
168,5,water,water,44,6,P1423-7xB2315-1,M_M,,,,,,,,,,,,,
170,5,water,late drought,22,2,B1109-1xB1503-3,M_M,15-Apr,,,,,,25-Apr,,,,,,
171,4,drought,early drought,30,7,V2519-8xL1502-12,Y_Y,07-may,,28-mar,,12-Apr,,26-Apr,,,,,,
172,7,drought,early drought,3,3,B1223-1xT2315-2,M_Y,24-Apr,,26-mar,,12-Apr,,25-Apr,,,,,1,
174,5,water,late drought,26,2,T829-3xT2930-2,Y_Y,,,,,,,,,,,,,
179,5,water,water,3,11,B1223-1xT2315-2,M_Y,02-may,,,,,,,,,,,,
181,5,water,water,36,10,T3105-1xT2813-2,Y_Y,17-may,,,,,,,,,,,,
187,7,drought,early drought,15,2,T2803-1xT2505-3,Y_Y,,,28-mar,,12-Apr,,25-Apr,,,,,,
188,7,drought,early drought,11,5,T2420-1xT3105-1,Y_Y,,,28-mar,,12-Apr,,26-Apr,,,,,,
191,5,water,late drought,3,10,B1223-1xT2315-2,M_Y,24-Apr,,,,,24-Apr,,,,,1,,
192,5,water,water,12,8,T2315-2xT829-3,Y_Y,24-Apr,,,,,,,,,,,,
193,5,water,late drought,9,4,B1427-3xB3018-3,M_M,07-may,,,,,,30-Apr,,20-may,,,,
194,5,water,water,46,11,T2311-6xL1502-12,Y_Y,,,,,,,,,,,,,
195,6,water,late drought,50,2,V1014-5xL624-9,Y_Y,,,,,,,30-Apr,,,,,,
196,6,water,water,19,8,P513-10xB2324-3,M_M,24-may,,,,,,,,,,,,
