"","unique_id","block","trt","cross","pop_parent_1","pop_parent_2","colors","first_flower","wilt1","wilt2","wilt3","wilt4","wilt5","wilt6","wilt7","wilt8","dead1","dead2","survived","height_cm","leaf_nodes_main","bushiness","flower_count","days_1flower","flowering","w_b","pop_T","pop_B","pop_V","pop_P","pop_L","initial_h"
"85",205,"6","late drought","B711-1xB1207-3","B","B","M_M","24-Apr","","","","","","25-Apr","","",0,0,1,45,12,16,2,47,1,"w",0,1,0,0,0,8.1
"86",207,"6","late drought","B2913-3xB2311-1","B","B","M_M","12-Apr","","","","","","25-Apr","","",0,0,1,51,9,25,6,35,1,"w",0,1,0,0,0,8.8
"87",208,"7","early drought","V1014-5xL624-9","V","L","Y_Y","","","","","","","30-Apr","","",0,0,1,22,16,46,0,NA,0,"b",0,0,1,0,1,12.5
"88",213,"6","control","B1916-3xT2829-3","B","T","M_Y","24-Apr","","","","","","","","",0,0,1,72,16,2,8,47,1,"b",1,1,0,0,0,11.1
"89",214,"6","control","T2930-2xT829-3","T","T","Y_Y","","","","","","","","","",0,0,1,38,15,23,0,NA,0,"w",1,0,0,0,0,11.3
"90",216,"6","control","T3105-1xT2813-2","T","T","Y_Y","","","","","","","","","",0,0,1,34,22,35,0,NA,0,"w",1,0,0,0,0,8.4
"91",218,"6","control","B711-1xB1207-3","B","B","M_M","26-Apr","","","","","","","","",0,0,1,62,15,15,4,49,1,"w",0,1,0,0,0,6.8
"92",219,"6","late drought","T515-6xL624-9","T","L","Y_Y","","","","","","","26-Apr","","",0,0,1,28,19,30,0,NA,0,"b",1,0,0,0,1,5.3
"93",222,"6","control","T2930-2xT829-3","T","T","Y_Y","","","","","","","","","",0,0,1,35,13,22,0,NA,0,"w",1,0,0,0,0,4.5
"94",224,"7","early drought","B1916-3xT2829-3","B","T","M_Y","","","28-mar","","12-Apr","","25-Apr","","",0,0,1,4,1,7,0,NA,0,"b",1,1,0,0,0,6
"95",226,"6","control","B1613-3xT2930-2","B","T","M_Y","30-Apr","","","","","","","","",0,0,1,51,12,19,4,53,1,"b",1,1,0,0,0,8.1
"96",227,"7","early drought","P2409-9xB2913-2","P","B","M_M","","","28-mar","","","","25-Apr","","",0,0,1,4,3,12,0,NA,0,"b",0,1,0,1,0,8.2
"97",228,"8","late drought","B1223-1xB1613-3","B","B","M_M","12-Apr","","","","","","30-Apr","","",0,0,1,52,13,8,2,35,1,"w",0,1,0,0,0,8.9
"98",229,"8","control","T515-6xL624-9","T","L","Y_Y","","","","","","","","","",0,0,1,30,19,33,0,NA,0,"b",1,0,0,0,1,20
"99",231,"7","early drought","B1223-1xB1613-3","B","B","M_M","12-Apr","","28-mar","","9-Apr","","25-Apr","","",0,0,1,49,16,0,3,35,1,"w",0,1,0,0,0,6.3
"100",232,"8","control","P2409-9xB2913-2","P","B","M_M","30-Apr","","","","","","","","",0,0,1,55,13,4,5,53,1,"b",0,1,0,1,0,18.9
"101",233,"7","early drought","B1427-3xB3018-3","B","B","M_M","30-Apr","","","","","","25-Apr","","",0,0,1,50,15,16,1,53,1,"w",0,1,0,0,0,5.4
"102",234,"8","control","B1223-1xT2315-2","B","T","M_Y","25-Apr","","","","","","","","",0,0,1,67,19,18,3,48,1,"b",1,1,0,0,0,17.8
"103",236,"8","control","V1014-5xL624-9","V","L","Y_Y","","","","","","","","","",0,0,1,24,14,35,0,NA,0,"b",0,0,1,0,1,4.9
"104",238,"7","early drought","T2315-2xT829-3","T","T","Y_Y","","","","","12-Apr","","26-Apr","","",0,0,1,19,8,18,0,NA,0,"w",1,0,0,0,0,7
"105",241,"8","late drought","T2311-6xL1502-12","T","L","Y_Y","","","","","","","26-Apr","","",0,0,1,29,12,16,0,NA,0,"b",1,0,0,0,1,9.3
"106",242,"8","control","T2803-3xL2221-11","T","L","Y_Y","","","","","","24-Apr","","","",0,0,1,26,13,37,0,NA,0,"b",1,0,0,0,1,13.4
"107",243,"8","control","T2311-6xL1502-12","T","L","Y_Y","14-may","","","","","24-Apr","","","",0,0,1,46,12,45,2,67,1,"b",1,0,0,0,1,5.7
"108",245,"7","early drought","B1916-3xT2829-3","B","T","M_Y","24-Apr","","","","12-Apr","","25-Apr","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,7.7
"109",246,"8","late drought","B1427-3xB3018-3","B","B","M_M","","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,NA,0,"w",0,1,0,0,0,6.5
"110",247,"8","late drought","B1916-3xT2829-3","B","T","M_Y","","","","","","","25-Apr","","",0,0,1,24,3,14,0,NA,0,"b",1,1,0,0,0,16.8
"111",249,"8","late drought","B2212-3xT2930-2","B","T","M_Y","","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,NA,0,"b",1,1,0,0,0,8.4
"112",251,"8","control","B711-1xB1207-3","B","B","M_M","30-Apr","","","","","24-Apr","","","",0,0,1,36,7,56,4,53,1,"w",0,1,0,0,0,8.1
"113",252,"8","control","B1207-2xB1127-2","B","B","M_M","24-Apr","","","","","24-Apr","","","",0,0,1,66,15,24,10,47,1,"w",0,1,0,0,0,14.3
"114",256,"8","control","P2409-9xB2913-2","P","B","M_M","24-Apr","","","","","24-Apr","","","",0,0,1,61,11,17,18,47,1,"b",0,1,0,1,0,13.4
"115",257,"8","control","T829-3xT2930-2","T","T","Y_Y","","","","","","24-Apr","","","",0,0,1,40,19,26,0,NA,0,"w",1,0,0,0,0,6.5
"116",259,"9","control","B2311-1xT2829-3","B","T","M_Y","30-Apr","","","","","","","","",0,0,1,78,22,4,7,53,1,"b",1,1,0,0,0,4
"117",260,"9","late drought","P513-10xB2324-3","P","B","M_M","","","","","","","30-Apr","","",0,0,1,20,8,41,0,NA,0,"b",0,1,0,1,0,7.7
"118",261,"9","late drought","T2930-2xT829-3","T","T","Y_Y","20-may","","","","","","30-Apr","","",0,0,1,40,11,13,1,73,1,"w",1,0,0,0,0,7.3
"119",262,"9","late drought","B2324-4xP513-10","B","P","M_M","","","","","","","30-Apr","","",0,0,1,24,14,24,0,NA,0,"b",0,1,0,1,0,8.6
"120",263,"9","late drought","T2803-3xL2221-11","T","L","Y_Y","03-may","","","","","","30-Apr","","",0,0,1,34,12,27,1,56,1,"b",1,0,0,0,1,5.8
"121",268,"7","early drought","V2519-8xL1502-12","V","L","Y_Y","","","","","12-Apr","","26-Apr","","",0,0,1,10,3,12,0,NA,0,"b",0,0,1,0,1,5.4
"122",269,"7","early drought","T2311-6xL1502-12","T","L","Y_Y","","","28-mar","","12-Apr","","26-Apr","","",0,0,1,19,7,24,0,NA,0,"b",1,0,0,0,1,5.6
"123",271,"7","early drought","B1207-2xB1127-2","B","B","M_M","24-Apr","","26-mar","","12-Apr","","25-Apr","","",0,0,1,45,14,6,2,47,1,"w",0,1,0,0,0,7.9
"124",273,"9","control","V2118-7xL2221-11","V","L","Y_Y","","","","","","","","","",0,0,1,37,14,29,0,NA,0,"b",0,0,1,0,1,23
"125",275,"9","control","V2118-7xL2221-11","V","L","Y_Y","24-Apr","","","","","","","","",0,0,1,62,16,3,4,47,1,"b",0,0,1,0,1,5.2
"126",277,"9","late drought","V2118-7xL2221-11","V","L","Y_Y","","","","","","","30-Apr","","",0,0,1,39,14,22,0,NA,0,"b",0,0,1,0,1,10.3
"127",278,"9","late drought","B1223-1xB1613-3","B","B","M_M","19-Apr","","","","","","26-Apr","","",0,0,1,57,12,14,7,42,1,"w",0,1,0,0,0,7
"128",279,"7","early drought","V2118-7xL2221-11","V","L","Y_Y","25-Apr","","28-mar","","12-Apr","","30-Apr","","",0,0,1,49,9,20,3,48,1,"b",0,0,1,0,1,17.8
"129",282,"9","control","B2913-2xP2409-9","B","P","M_M","25-Apr","","","","","","","","",0,0,1,61,12,11,4,48,1,"b",0,1,0,1,0,9.6
"130",288,"7","early drought","T3105-1xT2813-2","T","T","Y_Y","","","","","","","30-Apr","","",0,0,1,16,17,18,0,NA,0,"w",1,0,0,0,0,8.6
"131",289,"9","late drought","B1207-2xB1127-2","B","B","M_M","","","","","","","02-may","","",0,0,1,36,12,31,0,NA,0,"w",0,1,0,0,0,6
"132",291,"10","early drought","B1207-2xB1127-2","B","B","M_M","","","26-mar","","8-Apr","24-Apr","","","",0,0,1,34,11,36,0,NA,0,"w",0,1,0,0,0,16
"133",294,"9","late drought","T2420-1xT3105-1","T","T","Y_Y","","","","","","","30-Apr","","",0,0,1,27,13,33,0,NA,0,"w",1,0,0,0,0,12.2
"134",295,"10","early drought","P513-10xB2324-3","P","B","M_M","24-may","","28-mar","","8-Apr","24-Apr","","","",0,0,1,10,4,11,0,77,1,"b",0,1,0,1,0,7.9
"135",296,"10","early drought","T2930-2xT829-3","T","T","Y_Y","","","26-mar","","8-Apr","","25-Apr","","",0,1,0,NA,NA,NA,NA,NA,0,"w",1,0,0,0,0,7.9
"136",297,"9","late drought","B1207-2xB1127-2","B","B","M_M","03-may","","","","","","30-Apr","","",0,0,1,69,14,2,5,56,1,"w",0,1,0,0,0,14.8
"137",298,"10","early drought","P513-10xB2324-3","P","B","M_M","","","26-mar","","8-Apr","24-Apr","","","",0,0,1,8,3,8,0,NA,0,"b",0,1,0,1,0,8.3
"138",300,"9","control","V2519-8xL1502-12","V","L","Y_Y","07-may","","","","","","","","",0,0,1,35,11,33,3,60,1,"b",0,0,1,0,1,6.9
"139",305,"9","control","B2324-4xP513-10","B","P","M_M","","","","","","","","","",0,0,1,26,12,25,0,NA,0,"b",0,1,0,1,0,4.9
"140",306,"11","late drought","P2409-9xB2913-2","P","B","M_M","","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,NA,0,"b",0,1,0,1,0,5
"141",307,"10","early drought","B1223-1xB1613-3","B","B","M_M","25-Apr","","26-mar","","9-Apr","24-Apr","","","20-may",0,0,1,15,2,9,1,48,1,"w",0,1,0,0,0,19
"142",309,"11","control","T829-3xT2930-2","T","T","Y_Y","24-Apr","","","","12-Apr","24-Apr","","14-may","",0,0,1,80,10,12,6,47,1,"w",1,0,0,0,0,5.5
"143",310,"11","late drought","P1423-7xB2315-1","P","B","M_M","","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,NA,0,"b",0,1,0,1,0,5
"144",311,"11","control","B2315-1xP1423-7","B","P","M_M","10-may","","","","","24-Apr","02-may","14-may","",0,0,1,66,15,55,6,63,1,"b",0,1,0,1,0,5.6
"145",312,"11","control","T2803-1xT2505-3","T","T","Y_Y","30-Apr","","","","","24-Apr","","14-may","",0,0,1,69,19,59,7,53,1,"w",1,0,0,0,0,9.9
"146",313,"11","late drought","B723-3xT2930-2","B","T","M_Y","24-Apr","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,3.7
"147",316,"11","late drought","T515-6xL624-9","T","L","Y_Y","","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,NA,0,"b",1,0,0,0,1,3.9
"148",317,"10","early drought","B1613-3xT2930-2","B","T","M_Y","24-Apr","","26-mar","","9-Apr","24-Apr","","","",0,0,1,17,6,12,2,47,1,"b",1,1,0,0,0,13.4
"149",318,"11","late drought","B723-3xT2930-2","B","T","M_Y","24-Apr","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,8.3
"150",319,"11","late drought","T2420-1xT3105-1","T","T","Y_Y","25-Apr","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,48,1,"w",1,0,0,0,0,4.5
"151",321,"11","control","T2311-6xL1502-12","T","L","Y_Y","19-Apr","","","","","24-Apr","","","",0,0,1,53,7,37,13,42,1,"b",1,0,0,0,1,6
"152",322,"11","control","B2212-3xT2930-2","B","T","M_Y","07-may","","","","","24-Apr","","14-may","",0,0,1,77,15,28,9,60,1,"b",1,1,0,0,0,9.8
"153",323,"11","control","V2519-8xL1502-12","V","L","Y_Y","24-Apr","","","","","24-Apr","","14-may","",0,0,1,64,11,46,17,47,1,"b",0,0,1,0,1,8
"154",325,"10","early drought","T2420-1xT3105-1","T","T","Y_Y","","","26-mar","","8-Apr","24-Apr","","","",0,1,0,NA,NA,NA,NA,NA,0,"w",1,0,0,0,0,7.9
"155",326,"11","late drought","B2913-2xP2409-9","B","P","M_M","02-may","","","","","","25-Apr","","",0,0,1,46,10,6,0,55,1,"b",0,1,0,1,0,11
"156",328,"11","late drought","P513-10xB2324-3","P","B","M_M","","","","","","","25-Apr","","",0,0,1,12,6,21,0,NA,0,"b",0,1,0,1,0,8
